year,match_stage,fn_time,duka_time,absolute_time_delta_minutes,fn_close,fn_high,fn_atr,fn_prior_96_high,fn_threshold,duka_close,duka_high,duka_atr,duka_prior_96_high,duka_threshold
2024,FN_ONLY,2024-01-12T00:00:00+00:00,,,2048.48,2062.2,3.320372924246889,2034.86,2035.1920372924246,,,,,
2024,FN_ONLY,2024-01-19T00:00:00+00:00,,,2029.54,2039.36,1.9260695465571773,2023.24,2023.4326069546557,,,,,
2024,FN_ONLY,2024-01-23T00:00:00+00:00,,,2029.0,2037.83,1.7947368922506834,2026.53,2026.709473689225,,,,,
2024,FN_ONLY,2024-01-29T00:00:00+00:00,,,2032.71,2037.54,1.8409048663359038,2026.22,2026.4040904866335,,,,,
2024,FN_ONLY,2024-02-06T00:00:00+00:00,,,2035.83,2038.86,1.7000723722240179,2027.5,2027.6700072372223,,,,,
2024,FN_ONLY,2024-02-15T00:00:00+00:00,,,2004.06,2008.24,1.8866162365972605,1996.05,1996.2386616236597,,,,,
2024,FN_ONLY,2024-02-16T00:00:00+00:00,,,2013.4,2015.13,1.9317800921703452,2008.24,2008.433178009217,,,,,
2024,FN_ONLY,2024-02-19T00:00:00+00:00,,,2017.9,2022.95,1.421706832431989,2015.13,2015.2721706832433,,,,,
2024,FN_ONLY,2024-02-20T00:00:00+00:00,,,2024.1,2030.86,1.5974840389229135,2019.54,2019.6997484038923,,,,,
2024,FN_ONLY,2024-02-23T00:00:00+00:00,,,2035.98,2041.29,2.310711285492806,2026.7,2026.9310711285493,,,,,
2024,FN_ONLY,2024-02-29T00:00:00+00:00,,,2044.04,2050.72,2.191146395281557,2037.8,2038.0191146395282,,,,,
2024,FN_ONLY,2024-03-01T00:00:00+00:00,,,2083.41,2088.26,4.024178412556559,2050.72,2051.1224178412554,,,,,
2024,FN_ONLY,2024-03-04T00:00:00+00:00,,,2114.27,2119.84,3.6127554855679054,2088.26,2088.621275548557,,,,,
2024,FN_ONLY,2024-03-05T00:00:00+00:00,,,2127.94,2141.74,2.937616014566131,2119.84,2120.1337616014566,,,,,
2024,FN_ONLY,2024-03-06T00:00:00+00:00,,,2147.92,2152.14,2.8100534024914054,2139.46,2139.741005340249,,,,,
2024,FN_ONLY,2024-03-07T00:00:00+00:00,,,2159.83,2164.6,2.4922512061524156,2152.14,2152.3892251206153,,,,,
2024,FN_ONLY,2024-03-08T00:00:00+00:00,,,2177.13,2195.1,3.551183603655889,2160.81,2161.1651183603653,,,,,
2024,FN_ONLY,2024-03-13T00:00:00+00:00,,,2174.01,2179.79,2.5748254197143634,2169.84,2170.0974825419717,,,,,
2024,FN_ONLY,2024-03-20T00:00:00+00:00,,,2186.12,2188.76,3.289577195094829,2158.65,2158.9789577195097,,,,,
2024,FN_ONLY,2024-03-27T00:00:00+00:00,,,2194.72,2197.56,2.5630233168283203,2192.85,2193.106302331683,,,,,
2024,FN_ONLY,2024-03-28T00:00:00+00:00,,,2233.82,2236.22,4.161816957186648,2195.26,2195.6761816957187,,,,,
2024,FN_ONLY,2024-04-01T00:00:00+00:00,,,2251.36,2265.66,5.094993291225332,2236.22,2236.7294993291225,,,,,
2024,FN_ONLY,2024-04-02T00:00:00+00:00,,,2280.77,2280.99,3.661709267456358,2257.81,2258.1761709267457,,,,,
2024,FN_ONLY,2024-04-03T00:00:00+00:00,,,2300.1,2301.01,3.9061230556728592,2280.99,2281.380612305567,,,,,
2024,FN_ONLY,2024-04-05T00:00:00+00:00,,,2327.6,2330.42,6.752792667546823,2305.51,2306.185279266755,,,,,
2024,FN_ONLY,2024-04-08T00:00:00+00:00,,,2338.77,2353.86,4.914747246743849,2330.42,2330.9114747246745,,,,,
2024,FN_ONLY,2024-04-09T00:00:00+00:00,,,2352.73,2365.26,2.9160050896534035,2342.0,2342.2916005089655,,,,,
2024,FN_ONLY,2024-04-11T00:00:00+00:00,,,2372.55,2377.61,5.195908008331389,2352.31,2352.829590800833,,,,,
2024,FN_ONLY,2024-05-01T00:00:00+00:00,,,2319.44,2328.25,5.123550798953608,2313.26,2313.7723550798955,,,,,
2024,FN_ONLY,2024-05-06T00:00:00+00:00,,,2323.64,2332.0,4.211256146012262,2308.84,2309.2611256146015,,,,,
2024,FN_ONLY,2024-05-09T00:00:00+00:00,,,2346.26,2347.2,3.689311502509927,2321.03,2321.398931150251,,,,,
2024,FN_ONLY,2024-05-10T00:00:00+00:00,,,2361.48,2378.37,3.786013265518589,2347.2,2347.5786013265515,,,,,
2024,FN_ONLY,2024-05-14T00:00:00+00:00,,,2357.91,2359.56,2.5561393738869573,2349.34,2349.595613937389,,,,,
2024,FN_ONLY,2024-05-15T00:00:00+00:00,,,2385.87,2390.2,3.59130382054164,2359.56,2359.919130382054,,,,,
2024,FN_ONLY,2024-05-17T00:00:00+00:00,,,2417.65,2422.67,4.317137027870779,2383.69,2384.121713702787,,,,,
2024,FN_ONLY,2024-05-20T00:00:00+00:00,,,2426.16,2450.01,4.823086872898212,2422.67,2423.15230868729,,,,,
2024,FN_ONLY,2024-05-27T00:00:00+00:00,,,2352.57,2358.42,2.638191901202018,2347.36,2347.6238191901202,,,,,
2024,FN_ONLY,2024-05-28T00:00:00+00:00,,,2360.9,2364.03,2.5354192237904956,2358.42,2358.673541922379,,,,,
2024,FN_ONLY,2024-06-05T00:00:00+00:00,,,2355.04,2357.34,3.0316902351193074,2337.95,2338.253169023512,,,,,
2024,FN_ONLY,2024-06-06T00:00:00+00:00,,,2375.94,2378.46,2.5434429954695914,2357.34,2357.594344299547,,,,,
2024,FN_ONLY,2024-06-11T00:00:00+00:00,,,2316.4,2319.84,2.297742968004608,2313.72,2313.9497742968,,,,,
2024,FN_ONLY,2024-06-12T00:00:00+00:00,,,2324.64,2341.59,2.9687249860553377,2319.52,2319.8168724986053,,,,,
2024,FN_ONLY,2024-06-14T00:00:00+00:00,,,2332.16,2336.62,3.1641625202774986,2324.71,2325.026416252028,,,,,
2024,FN_ONLY,2024-06-18T00:00:00+00:00,,,2329.18,2333.1,2.6655437718475037,2327.54,2327.8065543771845,,,,,
2024,FN_ONLY,2024-06-20T00:00:00+00:00,,,2359.67,2365.43,3.3279201493452932,2332.84,2333.1727920149347,,,,,
2024,FN_ONLY,2024-06-27T00:00:00+00:00,,,2327.7,2330.98,3.2040912000071424,2311.54,2311.860409120001,,,,,
2024,FN_ONLY,2024-07-03T00:00:00+00:00,,,2355.79,2364.95,3.4322985518683575,2336.78,2337.123229855187,,,,,
2024,FN_ONLY,2024-07-05T00:00:00+00:00,,,2391.28,2392.9,3.3850165742038874,2361.81,2362.14850165742,,,,,
2024,FN_ONLY,2024-07-11T00:00:00+00:00,,,2415.6,2424.56,4.483700633732141,2386.7,2387.148370063373,,,,,
2024,FN_ONLY,2024-07-15T00:00:00+00:00,,,2422.31,2439.75,3.3770360093294927,2418.29,2418.627703600933,,,,,
2024,FN_ONLY,2024-07-16T00:00:00+00:00,,,2468.94,2469.67,4.405953900650007,2439.75,2440.190595390065,,,,,
2024,FN_ONLY,2024-07-23T00:00:00+00:00,,,2409.24,2412.01,2.495475258924195,2400.17,2400.4195475258925,,,,,
2024,FN_ONLY,2024-07-26T00:00:00+00:00,,,2386.86,2390.81,4.210117167707907,2376.37,2376.7910117167708,,,,,
2024,FN_ONLY,2024-07-30T00:00:00+00:00,,,2410.58,2412.75,3.709976723409084,2396.75,2397.1209976723408,,,,,
2024,FN_ONLY,2024-07-31T00:00:00+00:00,,,2447.2,2450.94,4.838179646671705,2412.75,2413.233817964667,,,,,
